STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FAECAL_STREPTOCOCCI_Min,FAECAL_STREPTOCOCCI_Max,TOTAL_DISSOLVED_SOLIDS_Min,TOTAL_DISSOLVED_SOLIDS_Max,FLUORIDE_Min,FLUORIDE_Max,ARSENIC_Min,ARSENIC_Max,Latitude,Longitude
3156,BIHAR,28,28,7.6,7.6,1308,1308,-,-,3.93,3.93,280,280,350,350,-,-,-,-,0.42,0.42,-,-,25.862744,85.777669
3157,BIHAR,28,28,7.6,7.6,846,846,-,-,2.66,2.66,1600,1600,1600,1600,-,-,-,-,0.4,0.4,-,-,25.238589,86.741767
3158,BIHAR,29,29,7.2,7.2,928,928,-,-,4.27,4.27,170,170,220,220,-,-,-,-,0.68,0.68,-,-,24.558892,84.799511
3159,BIHAR,26,26,7,7,1780,1780,-,-,3.03,3.03,7,7,23,23,-,-,-,-,0.89,0.89,-,-,25.586566,84.449575
3160,BIHAR,25,25,7.5,7.5,350,350,-,-,BDL,BDL,280,280,350,350,-,-,236,236,0.74,0.74,-,-,26.981397,84.853981
3161,BIHAR,-,-,7.9,7.9,1070,1070,-,-,5.73,5.73,-,-,-,-,-,-,830,830,BDL,BDL,-,-,25.534142,87.580264
3162,BIHAR,26,26,7,7,1330,1330,-,-,3.9,3.9,4,4,4,4,-,-,-,-,0.41,0.41,-,-,26.004064,85.08065
2039,CHANDIGARH,25,27,6.7,6.7,710,723,BDL,1.1,3.2,3.2,8,8,87,87,-,-,350,382,0.32,0.33,-,-,30.751489,76.772606
2040,CHANDIGARH,28,28,6.6,6.6,1106,1106,1.8,1.8,-,-,-,-,-,-,-,-,438,438,0.51,0.51,-,-,30.73405,76.773239
2041,CHANDIGARH,24,24,7,7,933,933,2.5,2.5,4.9,4.9,-,-,11,11,-,-,472,472,0.34,0.34,-,-,30.719562,76.76397
2042,CHANDIGARH,24.5,25,6.3,6.7,715,984,1.3,2.8,1.7,1.7,4,4,41,41,BDL,BDL,492,654,0.26,0.49,-,-,30.694747,76.769719
2043,CHANDIGARH,24.5,27,6.8,6.9,737,1075,1.7,2,6.2,6.2,-,-,21,21,-,-,360,636,0.21,0.99,-,-,30.731825,76.725717
2044,CHANDIGARH,24,25,6.6,7,640,762,BDL,BDL,2,2,BDL,BDL,39,39,-,-,356,358,BDL,0.35,-,-,30.776019,76.74926
2045,CHANDIGARH,24,26,6.6,6.7,978,1079,1.5,1.9,9.2,9.2,10,10,91,91,-,-,554,590,0.66,0.88,-,-,30.75385,76.740867
1620,CHHATTISGARH,24,26,7.3,7.3,194,256,-,-,-,-,-,-,-,-,-,-,185,188,-,-,-,-,21.251394,81.629733
1621,CHHATTISGARH,23,23,7.4,7.6,242,272,-,-,-,-,-,-,-,-,-,-,244,256,-,-,-,-,21.251394,81.629733
3171,CHHATTISGARH,28,28,7.1,7.1,-,-,BDL,BDL,-,-,-,-,-,-,-,-,80,80,-,-,-,-,21.201958,81.340825
3172,CHHATTISGARH,26,26,6.1,6.1,-,-,-,-,-,-,-,-,-,-,-,-,235,235,-,-,-,-,22.424406,82.73913
3173,CHHATTISGARH,26.1,26.1,7.1,7.1,-,-,-,-,-,-,-,-,-,-,-,-,215,215,-,-,-,-,22.393874,82.678762
3174,CHHATTISGARH,26.1,26.1,7.1,7.1,-,-,-,-,-,-,-,-,-,-,-,-,210,210,-,-,-,-,22.385857,82.683508
1440,DAMAN AND DIU,29,30,7.1,7.7,1098,1660,BDL,BDL,3.7,4.9,BDL,BDL,BDL,BDL,-,-,732,1108,0.53,0.77,BDL,BDL,20.407256,72.876327
2448,DAMAN AND DIU,29,30,7.1,7.6,719,955,BDL,BDL,2.5,6.7,BDL,BDL,BDL,BDL,-,-,482,724,0.25,0.47,BDL,BDL,20.447361,72.857456
2449,DAMAN AND DIU,29,30,7.3,7.8,1178,1620,BDL,BDL,5,6.7,BDL,BDL,BDL,BDL,-,-,796,1082,0.31,1.19,BDL,BDL,20.400458,72.878133
2450,DAMAN AND DIU,29,30,7,7.1,686,821,BDL,BDL,2.5,3.3,BDL,BDL,BDL,BDL,-,-,458,548,BDL,0.23,BDL,BDL,20.426775,72.847097
2451,DAMAN AND DIU,29,30,7,7,611,904,BDL,BDL,2.5,4.4,BDL,BDL,BDL,BDL,-,-,408,720,BDL,0.29,BDL,BDL,20.40115,72.892161
2452,DAMAN AND DIU,30,30,7.2,8,451,924,BDL,BDL,2.7,5.7,4,7,6,10,-,-,356,612,0.73,1,BDL,BDL,20.384203,72.883423
2453,DAMAN AND DIU,29,30,7.3,7.5,307,1164,BDL,BDL,2,4.2,BDL,BDL,BDL,BDL,-,-,200,786,BDL,0.46,BDL,BDL,20.126292,73.062664
2454,DAMAN AND DIU,30,30,7.5,7.7,567,721,BDL,BDL,BDL,BDL,2,6,6,10,-,-,378,488,0.3,0.76,BDL,BDL,20.271932,72.998411
2455,DAMAN AND DIU,30,30,7.5,7.8,1192,1810,BDL,BDL,1.7,2.6,BDL,BDL,BDL,BDL,-,-,802,1208,0.25,0.54,BDL,BDL,20.242592,73.014025
2456,DAMAN AND DIU,30,30,7.6,8.4,1006,1975,BDL,BDL,2.3,6.4,BDL,2,BDL,4,-,-,672,1320,0.69,1.04,BDL,BDL,20.310619,72.960967
2457,DAMAN AND DIU,29,30,7.4,8.3,1078,4325,BDL,BDL,2.3,2.4,2,2,4,6,-,-,286,718,0.39,0.99,BDL,BDL,20.293589,73.068986
2458,DAMAN AND DIU,29,30,7.7,8.2,1992,2340,BDL,BDL,1.9,2.2,BDL,BDL,BDL,BDL,-,-,1332,1556,0.76,0.84,BDL,BDL,20.316669,72.966672
3477,DELHI,-,-,7.3,7.3,2926,2926,-,-,6.12,6.12,400,400,5400,5400,22,22,1872,1872,0.5,0.5,BDL,BDL,28.797075,77.133117
3479,DELHI,-,-,7.5,7.5,1290,1290,-,-,51.62,51.62,2,2,2,2,-,-,807,807,-,-,-,-,28.556339,77.206494
3480,DELHI,-,-,7.7,7.7,772,772,-,-,5.21,5.21,2,2,2,2,2,2,430,430,BDL,BDL,BDL,BDL,28.805331,77.046247
3483,DELHI,-,-,7.5,7.5,1319,1319,-,-,1.62,1.62,2,2,4,4,2,2,828,828,1,1,BDL,BDL,28.755,77.199
3485,DELHI,-,-,6.8,6.8,1890,1890,-,-,147.02,147.02,2,2,8,8,-,-,1138,1138,0.3,0.3,-,-,28.572486,77.232919
3488,DELHI,-,-,7.2,7.2,2200,2200,-,-,6.01,6.01,2,2,2,2,2,2,1396,1396,0.3,0.3,-,-,28.684654,77.314976
3489,DELHI,-,-,7.3,7.3,1892,1892,-,-,85.03,85.03,4,4,27,27,17,17,1040,1040,0.4,0.4,-,-,28.573669,77.055899
3490,DELHI,-,-,7.1,7.1,873,873,-,-,51.21,51.21,4,4,94,94,-,-,538,538,-,-,-,-,28.457589,77.178719
3492,DELHI,-,-,7,7,1818,1818,-,-,2.72,2.72,4,4,13,13,-,-,1050,1050,0.5,0.5,BDL,BDL,28.629953,77.320258
3493,DELHI,-,-,7,7,1700,1700,-,-,7.84,7.84,2,2,14,14,-,-,844,844,-,-,BDL,BDL,28.666309,77.273879
3494,DELHI,-,-,8.2,8.2,901,901,-,-,22.31,22.31,2,2,2,2,2,2,530,530,2.4,2.4,BDL,BDL,28.722494,77.144697
3496,DELHI,-,-,7.6,7.6,1053,1053,-,-,22.31,22.31,2,2,8,8,33,33,668,668,0.4,0.4,BDL,BDL,28.668728,77.230422
3498,DELHI,-,-,7.3,7.3,360,360,-,-,4.42,4.42,2,2,2,2,-,-,200,200,BDL,BDL,-,-,28.54985,77.260786
3500,DELHI,-,-,7.6,7.6,1217,1217,-,-,28.51,28.51,2,2,2,2,2,2,784,784,0.8,0.8,BDL,BDL,28.680544,77.203628
3503,DELHI,-,-,7.7,7.7,919,919,-,-,20.11,20.11,2,2,13,13,2,2,572,572,0.6,0.6,BDL,BDL,28.653008,77.192353
3514,DELHI,-,-,7.3,7.3,1473,1473,-,-,37.81,37.81,2,2,2,2,11,11,819,819,0.3,0.3,-,-,28.611486,77.049103
3515,DELHI,-,-,7.4,7.4,1047,1047,-,-,16.92,16.92,2,2,5,5,4,4,564,564,0.3,0.3,BDL,BDL,28.627219,77.12405
3516,DELHI,-,-,7.5,7.5,222,222,-,-,1.62,1.62,2,2,2,2,-,-,156,156,BDL,BDL,BDL,BDL,28.614625,77.312158
3517,DELHI,-,-,7.1,7.1,4110,4110,-,-,307.85,307.85,2,2,7,7,2,2,2401,2401,0.7,0.7,-,-,28.605978,76.991206
3518,DELHI,-,-,7.2,7.2,1941,1941,-,-,57.01,57.01,2,2,2,2,-,-,1144,1144,0.3,0.3,BDL,BDL,28.632142,77.138853
3520,DELHI,-,-,7,7,1580,1580,-,-,48.52,48.52,2,2,33,33,-,-,934,934,1,1,-,-,28.567406,77.292078
3523,DELHI,-,-,7.2,7.2,2582,2582,-,-,2.22,2.22,2,2,2,2,2,2,1564,1564,0.5,0.5,-,-,28.655714,77.295122
3524,DELHI,-,-,7.8,7.8,1818,1818,-,-,8.33,8.33,2,2,2,2,2,2,1010,1010,0.6,0.6,BDL,BDL,28.665694,77.093931
3525,DELHI,-,-,7.3,7.3,1152,1152,-,-,17.82,17.82,2,2,11,11,2,2,616,616,0.5,0.5,BDL,BDL,28.650511,77.169181
3526,DELHI,-,-,7.2,7.2,1056,1056,-,-,0.32,0.32,2,2,4,4,-,-,618,618,0.4,0.4,BDL,BDL,28.61225,77.285689
3527,DELHI,-,-,7.7,7.7,3880,3880,-,-,0.32,0.32,22,22,79,79,-,-,2246,2246,0.6,0.6,BDL,BDL,28.639439,77.310961
3528,DELHI,-,-,7.2,7.2,2849,2849,-,-,29.22,29.22,2,2,2,2,280,280,1540,1540,1.2,1.2,BDL,BDL,28.679675,77.092711
3529,DELHI,-,-,7.5,7.5,1862,1862,-,-,5.62,5.62,170,170,1100,1100,230,230,-,-,1,1,BDL,BDL,28.579181,77.201353
3530,DELHI,-,-,7.1,7.1,1719,1719,-,-,4.82,4.82,2,2,2,2,2,2,-,-,0.7,0.7,BDL,BDL,28.652997,77.299056
3531,DELHI,-,-,7.7,7.7,5300,5300,-,-,25.32,25.32,2,2,2,2,2,2,2930,2930,1.6,1.6,BDL,BDL,28.571769,77.165053
3532,DELHI,-,-,7.2,7.2,1105,1105,-,-,48.82,48.82,2,2,17,17,2,2,-,-,0.7,0.7,BDL,BDL,28.639864,77.180092
3533,DELHI,-,-,7.3,7.3,803,803,-,-,5.12,5.12,2,2,4,4,2,2,-,-,0.8,0.8,BDL,BDL,28.677442,77.217708
3534,DELHI,-,-,7.1,7.1,1819,1819,-,-,53.71,53.71,2,2,8,8,-,-,1074,1074,0.9,0.9,BDL,BDL,28.614361,77.199622
3535,DELHI,-,-,8.1,8.1,2482,2482,-,-,37.12,37.12,2,2,2,2,2,2,1390,1390,3.3,3.3,BDL,BDL,28.736069,77.091128
3536,DELHI,-,-,7.1,7.1,1420,1420,-,-,52.32,52.32,2,2,2,2,-,-,832,832,-,-,-,-,28.524594,77.206678
3537,DELHI,-,-,7.1,7.1,1918,1918,-,-,83.3,83.3,2,2,2,2,2,2,1272,1272,0.3,0.3,-,-,28.681614,77.270975
3538,DELHI,-,-,7.5,7.5,2484,2484,-,-,49.82,49.82,2,2,4,4,5,5,1738,1738,0.8,0.8,BDL,BDL,28.843719,77.089375
3539,DELHI,-,-,7.6,7.6,5580,5580,-,-,10.32,10.32,2,2,5,5,2,2,3930,3930,0.6,0.6,BDL,BDL,28.843025,77.12602
3540,DELHI,-,-,7.8,7.8,2097,2097,-,-,83.72,83.72,2,2,27,27,5,5,1316,1316,1.4,1.4,BDL,BDL,28.698114,77.070828
3541,DELHI,-,-,7.9,7.9,6200,6200,-,-,119.12,119.12,2,2,2,2,2,2,3632,3632,4.5,4.5,BDL,BDL,28.682331,76.967181
3542,DELHI,-,-,7.2,7.2,1968,1968,-,-,29.9,29.9,2,2,2,2,2,2,-,-,0.6,0.6,BDL,BDL,28.638739,77.094114
3543,DELHI,-,-,7.7,7.7,1850,1850,-,-,0.32,0.32,2,2,2,2,-,-,1090,1090,0.7,0.7,BDL,BDL,28.604678,77.306886
3544,DELHI,-,-,7.6,7.6,3770,3770,-,-,2.22,2.22,2,2,2,2,-,-,2442,2442,3.4,3.4,-,-,28.567089,76.910736
3545,DELHI,-,-,7,7.2,881,1101,-,-,19.5,21.21,2,45,8,350,-,-,514,604,1.2,1.4,BDL,BDL,28.527303,77.151553
3546,DELHI,-,-,7.2,7.2,1070,1070,-,-,52.35,52.35,2,2,2,2,-,-,660,660,0.7,0.7,BDL,BDL,28.560258,77.156006
2277,GOA,29,29,6.2,7.4,382,394,BDL,BDL,0.32,3.665,BDL,BDL,BDL,BDL,131,131,245,264,BDL,BDL,BDL,BDL,15.368606,73.9448
2278,GOA,27,27,6.6,6.6,256,256,BDL,BDL,0.32,0.32,BDL,BDL,BDL,BDL,431,431,146,146,BDL,BDL,BDL,BDL,15.383933,73.873514
2280,GOA,28,30,5.4,7.5,107,114,BDL,BDL,BDL,0.32,BDL,BDL,BDL,BDL,141,141,61,71,0.47,0.47,BDL,BDL,15.462972,73.971447
2281,GOA,28,28,4.7,4.7,46,46,BDL,BDL,0.32,0.32,BDL,BDL,8,8,221,221,25,25,BDL,BDL,BDL,BDL,15.499056,73.932308
2282,GOA,29,29,6.4,7.2,131,250,BDL,BDL,0.32,0.705,BDL,BDL,BDL,BDL,241,241,77,172,0.46,0.92,BDL,BDL,15.529438,73.796302
3193,GOA,27,30,6.5,7.1,403,475,BDL,2.2,BDL,0.32,2,1300,9,2200,95,95,247,310,BDL,0.28,BDL,BDL,15.164621,73.989226
3194,GOA,27,29,6.2,6.3,110,140,BDL,BDL,0.485,1.74,BDL,BDL,BDL,BDL,351,351,77,79,BDL,0.24,BDL,BDL,15.385928,74.028225
3195,GOA,27,30,5.7,6.1,80,85,BDL,BDL,0.815,1.08,BDL,BDL,BDL,2,151,151,48,58,BDL,0.46,BDL,BDL,15.423045,73.954292
3,GUJARAT,28,28,7.6,8.4,929,1384,BDL,BDL,0.74,1.81,BDL,2,BDL,2,-,-,480,748,0.37,1.41,-,-,23.022784,72.571178
6,GUJARAT,29,30,7.6,7.7,500,1478,BDL,BDL,BDL,0.56,BDL,2,BDL,2,-,-,180,896,0.48,0.54,-,-,22.307158,73.181219
1948,GUJARAT,29,30,7.5,8,1620,2160,1.2,1.6,0.51,0.53,2,2,2,2,-,-,1040,1066,0.28,0.32,BDL,BDL,21.764472,72.151931
1949,GUJARAT,30,31,8,8.3,1300,1740,1.4,2.2,BDL,0.45,BDL,2,BDL,4,-,-,844,848,BDL,0.34,BDL,BDL,21.62,71.230006
1950,GUJARAT,26,26,7.9,7.9,1108,1417,1.5,2,1.3,1.58,2,2,2,2,-,-,722,752,0.45,0.63,BDL,BDL,21.522041,70.45785
1951,GUJARAT,27,27,7.6,7.6,1389,1389,2,2,1.67,1.67,-,-,-,-,-,-,752,752,0.51,0.51,-,-,22.303892,70.802158
1952,GUJARAT,28,29,7.9,8,1546,3228,1.2,1.5,1.22,1.67,-,-,-,-,-,-,105,1764,0.59,0.98,BDL,BDL,22.720141,71.649491
1953,GUJARAT,26,29,7.4,7.4,1056,1120,BDL,BDL,BDL,0.32,BDL,BDL,BDL,BDL,-,-,642,660,BDL,BDL,BDL,BDL,22.470703,70.057739
1954,GUJARAT,30,32,7.3,7.4,3140,3170,1.5,1.6,BDL,BDL,BDL,2,BDL,2,-,-,2130,2400,0.6,0.7,-,-,23.242,69.666933
1955,GUJARAT,28,28,7.2,7.2,1730,1730,BDL,BDL,1.93,1.93,2,2,2,2,-,-,1064,1064,0.36,0.36,-,-,24.17405,72.4331
1956,GUJARAT,30,30,7.5,7.5,3273,3273,BDL,BDL,0.944,0.944,2,2,2,2,-,-,1798,1798,0.98,0.98,-,-,23.587992,72.369308
1957,GUJARAT,29,29,7.8,7.8,1748,1748,BDL,BDL,1.98,1.98,2,2,2,2,-,-,872,872,0.63,0.63,-,-,23.919619,72.366836
1958,GUJARAT,27,27,7.9,7.9,611,611,BDL,BDL,0.311,0.311,2,2,2,2,-,-,342,342,BDL,BDL,-,-,23.612325,72.960308
1959,GUJARAT,28,28,7.5,7.5,1753,1753,BDL,BDL,0.42,0.42,BDL,BDL,BDL,BDL,-,-,984,984,0.46,0.46,-,-,22.70001,72.870001
1960,GUJARAT,29,30,7.7,7.8,759,1000,BDL,BDL,0.44,0.69,BDL,2,BDL,2,-,-,426,608,0.28,1.3,-,-,22.837931,74.253147
1961,GUJARAT,29,30,7.3,7.3,944,1040,BDL,BDL,1.18,1.4,BDL,2,BDL,2,-,-,584,586,BDL,0.48,-,-,22.778803,73.614281
1962,GUJARAT,27,28,6.6,6.9,4070,5500,BDL,BDL,0.52,0.71,BDL,2,BDL,2,-,-,2282,2818,BDL,0.34,-,-,22.307158,73.181219
1964,GUJARAT,28,29,7.3,8.1,2374,5201,BDL,BDL,BDL,BDL,2,9,21,41,-,-,1282,3640,0.23,0.44,BDL,BDL,21.140667,72.842727
1965,GUJARAT,29,29,7.1,7.3,1335,6973,BDL,BDL,BDL,BDL,BDL,6,13,39,-,-,488,748,BDL,0.34,BDL,BDL,21.169974,72.673905
1966,GUJARAT,29,30,7.1,7.6,2114,2741,BDL,1.1,BDL,BDL,2,6,11,39,-,-,1478,1510,BDL,BDL,BDL,BDL,21.086356,72.827622
1967,GUJARAT,24,27,7.5,7.9,1087,1998,BDL,1.8,BDL,0.461,BDL,2,BDL,2,-,-,690,1164,0.27,0.32,BDL,BDL,20.537319,72.941042
1968,GUJARAT,23,25,7.3,7.9,369,747,BDL,2.1,0.37,0.49,BDL,2,BDL,2,-,-,232,508,0.28,0.36,BDL,BDL,20.365136,72.922025
1969,GUJARAT,27,27,6.8,6.8,533,533,2.3,2.3,BDL,BDL,BDL,BDL,BDL,BDL,-,-,332,332,0.31,0.31,-,-,20.284507,72.854843
1970,GUJARAT,22,25,7,7.4,551,598,BDL,2.2,BDL,0.95,BDL,2,BDL,2,-,-,346,382,0.33,0.4,BDL,BDL,20.366667,72.900001
2083,GUJARAT,30,30,7,7,4313,4313,BDL,BDL,1.134,1.134,BDL,BDL,BDL,BDL,-,-,2680,2680,BDL,BDL,-,-,21.093078,72.857456
2084,GUJARAT,29,31,7.84,8.3,1441,3217,BDL,BDL,0.36,0.5,BDL,7,BDL,17,-,-,1008,1738,0.51,0.85,BDL,BDL,21.082075,72.985392
2085,GUJARAT,31,31,8.2,8.2,2051,2051,BDL,BDL,1.005,1.005,BDL,BDL,BDL,BDL,-,-,1082,1082,0.69,0.69,-,-,23.101706,72.474661
2087,GUJARAT,29,29,7.4,8,4446,5484,BDL,BDL,BDL,BDL,6,9,20,53,-,-,382,2490,0.28,0.41,BDL,BDL,21.105792,72.805043
2088,GUJARAT,29,29,7.2,7.9,8883,10630,BDL,BDL,BDL,BDL,4,6,17,41,-,-,6218,6270,0.28,0.37,BDL,BDL,21.093078,72.857456
2089,GUJARAT,26,32,7.4,7.9,3205,3595,BDL,BDL,BDL,BDL,9,11,39,53,-,-,2080,2244,0.39,0.55,BDL,BDL,21.196517,72.830936
2090,GUJARAT,29,30,7.5,7.8,14610,15720,BDL,1.5,BDL,BDL,2,9,10,39,-,-,9130,10228,0.35,0.62,BDL,BDL,21.340136,72.755392
2091,GUJARAT,32,33,7.4,7.9,2495,2495,BDL,BDL,BDL,0.35,2,6,10,41,-,-,1430,1746,0.23,0.33,BDL,BDL,20.94645,72.949736
2093,GUJARAT,28,29,7.3,8.1,1657,2300,BDL,BDL,BDL,BDL,4,11,12,53,-,-,978,1610,0.29,0.33,BDL,BDL,21.120001,73.120001
2094,GUJARAT,29,30,7.1,7.4,6640,7630,BDL,BDL,0.32,0.584,BDL,BDL,BDL,BDL,-,-,3710,4930,0.21,0.59,BDL,BDL,21.626625,73.014386
2096,GUJARAT,26,30,7.2,7.5,5210,6540,BDL,BDL,0.33,1.045,2,2,2,2,-,-,2958,3658,0.57,0.9,BDL,BDL,23.080616,72.66693
2097,GUJARAT,27,30,7.4,7.4,4803,6455,BDL,BDL,0.63,0.714,2,2,2,2,-,-,2680,3668,0.68,0.87,BDL,BDL,22.855423,72.365734
2098,GUJARAT,28,30,7,7.5,2600,3203,BDL,BDL,1.65,2.248,2,2,2,2,-,-,1446,1766,1.1,1.81,BDL,BDL,22.991197,72.566917
3207,GUJARAT,29,29,7.4,7.4,2095,2095,BDL,BDL,0.33,0.33,-,-,-,-,-,-,1098,1098,0.36,0.36,-,-,21.636969,73.131793
3208,GUJARAT,25,25,6.6,6.6,565,565,2.4,2.4,BDL,BDL,2,2,2,2,-,-,354,354,0.37,0.37,BDL,BDL,20.608052,72.929151
3209,GUJARAT,27,27,7.2,7.2,839,839,2.4,2.4,BDL,BDL,BDL,BDL,BDL,BDL,-,-,522,522,0.3,0.3,-,-,20.284672,72.855067
3210,GUJARAT,26,32,7.5,7.9,3595,4019,BDL,BDL,BDL,BDL,6,10,41,48,-,-,2812,3595,0.55,0.55,BDL,BDL,21.458587,72.942997
3211,GUJARAT,24,29,7.2,7.8,2032,2280,BDL,BDL,BDL,BDL,6,7,41,43,-,-,1300,1422,BDL,0.24,BDL,BDL,21.170075,72.96507
3212,GUJARAT,28,32,7.4,8,2143,2401,BDL,BDL,BDL,0.4,2,2,2,2,-,-,1166,1352,0.69,0.75,BDL,BDL,22.998773,72.554637
3213,GUJARAT,33,33,7.5,8.2,1366,2607,BDL,BDL,BDL,1.1,2,2,2,2,-,-,782,1320,0.67,1.25,BDL,BDL,23.081253,72.667725
3214,GUJARAT,28,32,7.4,8.1,1826,1954,BDL,BDL,BDL,1.1,2,2,2,2,-,-,1012,1086,0.52,1.08,BDL,BDL,23.021548,72.663581
3215,GUJARAT,26,30,7.3,8.5,3243,4185,BDL,BDL,0.63,2.26,BDL,2,BDL,2,-,-,1974,2234,0.64,76,-,-,22.977868,72.543816
3216,GUJARAT,32,32,7.4,8.1,2679,3108,BDL,BDL,BDL,0.7,2,2,2,2,-,-,1564,1634,0.85,1.31,BDL,BDL,22.955938,72.639459
3217,GUJARAT,28,33,8.1,8.2,2149,2229,BDL,BDL,BDL,2.2,2,2,2,2,-,-,1234,1252,0.98,1.32,BDL,BDL,23.082136,72.66846
3218,GUJARAT,27,27,7.2,7.2,1006,1006,BDL,BDL,0.37,0.37,2,2,2,2,-,-,636,636,1.19,1.19,-,-,23.462694,73.300731
3219,GUJARAT,27,27,7.7,7.7,801,801,BDL,BDL,BDL,BDL,2,2,2,2,-,-,490,490,1.2,1.2,-,-,23.825025,73.000853
3220,GUJARAT,28,28,7.7,7.7,2760,2760,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,-,-,1542,1542,0.48,0.48,-,-,22.710311,72.852892
3221,GUJARAT,29,33,7.3,7.5,800,813,BDL,BDL,BDL,0.32,BDL,BDL,BDL,BDL,-,-,510,538,BDL,0.8,BDL,BDL,21.871467,73.500417
3222,GUJARAT,29,30,7.2,7.9,410,4102,BDL,BDL,BDL,0.49,BDL,BDL,BDL,BDL,-,-,216,2098,0.25,1.32,BDL,BDL,21.630465,73.022882
3223,GUJARAT,30,30,7.9,7.9,1980,1980,BDL,BDL,1.104,1.104,2,2,2,2,-,-,1022,1022,0.7,0.7,-,-,23.309945,72.264236
3224,GUJARAT,29,29,7.4,7.4,1232,1232,BDL,BDL,1.9,1.9,2,2,2,2,-,-,478,478,0.45,0.45,-,-,24.257083,72.193084
3225,GUJARAT,30,30,7.8,7.8,516,516,BDL,BDL,BDL,BDL,2,2,2,2,-,-,278,278,0.79,0.79,-,-,23.7,72.55
3226,GUJARAT,29,29,7.8,7.8,2190,2190,BDL,BDL,2.35,2.35,2,2,2,2,-,-,1104,1104,0.6,0.6,-,-,23.849292,72.126753
3227,GUJARAT,30,30,6.9,6.9,1969,1969,BDL,BDL,BDL,BDL,2,2,2,2,-,-,1054,1054,0.63,0.63,-,-,23.56714,72.750648
3228,GUJARAT,29,30,7.1,7.3,3060,3500,BDL,BDL,0.46,0.62,BDL,2,BDL,2,-,-,1716,1972,0.36,1.14,-,-,22.541932,73.459228
3229,GUJARAT,29,30,6.8,7.1,1418,2359,BDL,BDL,0.52,2.08,BDL,2,BDL,2,-,-,796,1390,0.54,0.67,-,-,22.840225,74.253625
3230,GUJARAT,26,28,7.7,8.2,1950,3814,1.1,1.8,1,1.52,2,2,2,2,-,-,293,992,0.33,0.53,BDL,BDL,21.521532,70.457033
3231,GUJARAT,30,30,7.3,7.3,692,692,1.8,1.8,BDL,BDL,2,2,2,2,-,-,440,440,0.4,0.4,-,-,23.291042,70.3416
3232,GUJARAT,32,33,7.5,8,1933,2236,BDL,BDL,BDL,0.472,5,9,14,39,-,-,1230,1352,0.22,0.24,BDL,BDL,20.768722,73.00164
3233,GUJARAT,32,33,7.5,7.8,2772,3799,BDL,BDL,BDL,0.312,2,9,12,53,-,-,1940,2100,0.24,0.28,BDL,BDL,20.949681,72.915022
3234,GUJARAT,27,28,6.8,6.8,6710,7290,BDL,BDL,0.78,1.08,2,2,2,2,-,-,4092,5652,0.58,1.91,-,-,22.413725,73.090994
3235,GUJARAT,31,31,8.2,8.2,2211,2211,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,-,-,1174,1174,0.8,0.8,-,-,23.246247,72.509283
3236,GUJARAT,28,30,7.6,7.9,1917,2183,BDL,BDL,0.95,1.01,2,2,2,2,-,-,1072,1328,0.69,0.73,BDL,BDL,23.027687,72.518736
3237,GUJARAT,26,29,7.3,7.4,4375,6040,BDL,BDL,0.32,0.967,2,2,2,2,-,-,2528,3586,0.69,0.72,BDL,BDL,22.894975,72.417879
3238,GUJARAT,30,30,7.5,7.5,4970,4970,BDL,BDL,0.52,0.52,2,2,2,2,-,-,2778,2778,0.56,0.56,-,-,24.325839,72.14038
3239,GUJARAT,31,31,7.5,7.5,3100,3100,BDL,BDL,0.44,0.44,2,2,2,2,-,-,1734,1734,0.3,0.3,-,-,22.538881,72.720061
3242,GUJARAT,30,34,7.3,7.9,2100,3600,1.4,1.8,0.43,0.57,BDL,2,BDL,2,-,-,1394,1608,0.22,0.31,BDL,BDL,21.399603,72.174589
3243,GUJARAT,30,30,8,8,4000,4000,1.2,1.2,0.43,0.43,2,2,2,2,-,-,2608,2608,0.29,0.29,-,-,21.747898,72.074867
3244,GUJARAT,28,30,7.1,7.4,3570,5930,BDL,BDL,0.324,0.37,BDL,BDL,BDL,BDL,-,-,2310,3826,BDL,0.27,BDL,BDL,21.704767,72.995722
3245,GUJARAT,28,30,7.3,7.4,4648,8026,BDL,1.5,0.7,1.42,BDL,BDL,BDL,BDL,-,-,309,4658,0.87,0.97,-,-,22.980975,71.4739
3246,GUJARAT,25,27,7.4,7.5,3859,4580,BDL,BDL,0.32,0.333,BDL,BDL,BDL,BDL,-,-,2904,2924,BDL,0.25,BDL,BDL,22.470878,70.059275
3247,GUJARAT,25,26,7.2,7.4,2589,4820,BDL,BDL,0.302,0.32,BDL,BDL,BDL,BDL,-,-,180,2420,BDL,0.22,BDL,BDL,22.418404,70.042366
4411,GUJARAT,24,27,8,8.3,2504,2528,BDL,BDL,0.302,0.32,BDL,BDL,BDL,BDL,-,-,136,1486,BDL,BDL,BDL,BDL,22.498056,70.058611
